Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,amenity_score,distance_to_cbd_km,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Westlands,Land,1,2,65.0,Swimming Pool,5500000.0,84615.38,2.0,2.93,3,0.0462,2.0,0,Other
Kileleshwa,Apartment,1,2,65.0,Swimming Pool,6000000.0,92307.69,2.0,3.33,3,0.0462,2.0,0,Apartment
Kileleshwa,Apartment,1,1,47.0,Swimming Pool,5100000.0,108510.64,2.0,3.33,2,0.0426,1.0,0,Apartment
Lavington,Townhouse,5,6,875.8541337429396,En Suite,75000000.0,85630.7,0.5,5.48,11,0.0126,1.2,0,House
Lavington,Townhouse,5,6,899.1200676119591,En Suite,81000000.0,90088.08,0.5,5.48,11,0.0122,1.2,0,House
Lavington,Townhouse,6,7,1223.038473716685,En Suite,85000000.0,69499.04,0.5,5.48,13,0.0106,1.17,0,House
Kileleshwa,Apartment,2,2,93.81527966541417,En Suite,9210000.0,98171.64,0.5,3.33,4,0.0426,1.0,0,Apartment
Kileleshwa,Apartment,1,1,33.30947496764011,En Suite,3000000.0,90064.46,0.5,3.33,2,0.06,1.0,0,Apartment
Karen,Villa,5,6,2916.439631439397,En Suite,190000000.0,65147.93,0.5,12.49,11,0.0038,1.2,0,House
Kileleshwa,Studio,1,1,40.0,Gym,4200000.0,105000.0,2.0,3.33,2,0.05,1.0,0,Apartment
Kilimani,Apartment,1,1,33.456141634306775,En Suite,3000000.0,89669.63,0.5,3.85,2,0.0598,1.0,0,Apartment
Kilimani,Apartment,1,1,65.55650331300707,En Suite,7000000.0,106778.12,0.5,3.85,2,0.0305,1.0,0,Apartment
Kilimani,Apartment,4,4,455.0070554758354,En Suite,13000000.0,28570.99,0.5,3.85,8,0.0176,1.0,0,Apartment
Lavington,Apartment,4,4,454.1426492321708,En Suite,13500000.0,29726.34,0.5,5.48,8,0.0176,1.0,0,Apartment
Kileleshwa,Apartment,4,5,382.34881899448055,En Suite,13000000.0,34000.37,0.5,3.33,9,0.0235,1.25,0,Apartment
Kileleshwa,Apartment,3,3,108.6792097022128,En Suite,9000000.0,82812.53,0.5,3.33,6,0.0552,1.0,0,Apartment
Kilimani,Apartment,1,1,76.0,En Suite,8360000.0,110000.0,0.5,3.85,2,0.0263,1.0,0,Apartment
Kileleshwa,Apartment,2,2,70.23935915309323,En Suite,6000000.0,85422.19,0.5,3.33,4,0.0569,1.0,0,Apartment
Westlands,Land,3,3,1040.2478911445507,En Suite,12000000.0,11535.71,0.5,2.93,6,0.0058,1.0,0,Other
Kileleshwa,Apartment,4,4,372.9361683087978,En Suite,13500000.0,36199.22,0.5,3.33,8,0.0215,1.0,0,Apartment
Westlands,Townhouse,1,2,65.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",116082527.76604202,1785885.04,13.0,2.93,3,0.0462,2.0,1,House
Westlands,Land,2,2,85.9101577882873,En Suite,7000000.0,81480.47,0.5,2.93,4,0.0466,1.0,0,Other
Kilimani,Apartment,2,2,70.2772671353766,En Suite,6000000.0,85376.11,0.5,3.85,4,0.0569,1.0,0,Apartment
Kilimani,Apartment,4,4,450.9041917575712,En Suite,13500000.0,29939.84,0.5,3.85,8,0.0177,1.0,0,Apartment
Kilimani,Apartment,3,3,109.0664597022128,En Suite,9000000.0,82518.49,0.5,3.85,6,0.055,1.0,0,Apartment
Westlands,Land,2,2,85.9101577882873,En Suite,7000000.0,81480.47,0.5,2.93,4,0.0466,1.0,0,Other
Lavington,Apartment,4,5,442.9064670845849,En Suite,13000000.0,29351.57,0.5,5.48,9,0.0203,1.25,0,Apartment
Westlands,Land,3,2,577.0089448827695,En Suite,13000000.0,22529.98,0.5,2.93,5,0.0087,0.67,0,Other
Lavington,Apartment,3,3,120.25402737898048,En Suite,9000000.0,74841.57,0.5,5.48,6,0.0499,1.0,0,Apartment
Kilimani,Apartment,1,1,73.0,En Suite,8030000.0,110000.0,0.5,3.85,2,0.0274,1.0,0,Apartment
Lavington,Apartment,2,2,70.39594829739484,En Suite,6000000.0,85232.18,0.5,5.48,4,0.0568,1.0,0,Apartment
Westlands,Land,1,1,1344.539200522753,En Suite,4000000.0,2975.0,0.5,2.93,2,0.0015,1.0,0,Other
